185: Santa| ID:0 |Začínám
189: Santa| ID:0 |Čekám na writing
195: Santa| ID:0 |Uvolnil jsem writing
311: Skřítek| ID:1 |Začínám
203: Santa| ID:0 |Jdu spát
311: Skřítek| ID:2 |Začínám
319: Skřítek| ID:1 |Pracuji
311: Skřítek| ID:3 |Začínám
319: Skřítek| ID:2 |Pracuji
311: Skřítek| ID:4 |Začínám
319: Skřítek| ID:3 |Pracuji
311: Skřítek| ID:5 |Začínám
319: Skřítek| ID:4 |Pracuji
327: Skřítek| ID:1 |Potřebuji pomoc
319: Skřítek| ID:5 |Pracuji
311: Skřítek| ID:6 |Začínám
335: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:2 |Potřebuji pomoc
319: Skřítek| ID:6 |Pracuji
391: Skřítek| ID:1 |Čekám ve skřítkovské frontě
335: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:7 |Začínám
311: Skřítek| ID:8 |Začínám
319: Skřítek| ID:7 |Pracuji
391: Skřítek| ID:2 |Čekám ve skřítkovské frontě
327: Skřítek| ID:3 |Potřebuji pomoc
319: Skřítek| ID:8 |Pracuji
311: Skřítek| ID:9 |Začínám
335: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:4 |Potřebuji pomoc
319: Skřítek| ID:9 |Pracuji
378: Skřítek| ID:3 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
382: Skřítek| ID:3 |Jsem třetí skřítek před dílnou, budím santu
311: Skřítek| ID:10 |Začínám
335: Skřítek| ID:4 |Čekám dokud je Santa vzhůru
391: Skřítek| ID:3 |Čekám ve skřítkovské frontě
207: Santa| ID:0 |Byl jsem probuzen
261: Santa| ID:0 |Čekám na writing
327: Skřítek| ID:5 |Potřebuji pomoc
319: Skřítek| ID:10 |Pracuji
311: Skřítek| ID:11 |Začínám
335: Skřítek| ID:5 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:12 |Začínám
319: Skřítek| ID:11 |Pracuji
311: Skřítek| ID:13 |Začínám
319: Skřítek| ID:12 |Pracuji
327: Skřítek| ID:6 |Potřebuji pomoc
319: Skřítek| ID:13 |Pracuji
311: Skřítek| ID:14 |Začínám
335: Skřítek| ID:6 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:15 |Začínám
319: Skřítek| ID:14 |Pracuji
327: Skřítek| ID:7 |Potřebuji pomoc
319: Skřítek| ID:15 |Pracuji
311: Skřítek| ID:16 |Začínám
335: Skřítek| ID:7 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:8 |Potřebuji pomoc
319: Skřítek| ID:16 |Pracuji
311: Skřítek| ID:17 |Začínám
335: Skřítek| ID:8 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:17 |Pracuji
267: Santa| ID:0 |Uvolnil jsem writing a pomáhám skřítkům
311: Skřítek| ID:18 |Začínám
395: Skřítek| ID:1 |Nyní jsem vstoupil do dílny
395: Skřítek| ID:2 |Nyní jsem vstoupil do dílny
413: Skřítek| ID:1 |Čekám na zápis
395: Skřítek| ID:3 |Nyní jsem vstoupil do dílny
311: Skřítek| ID:32 |Začínám
413: Skřítek| ID:2 |Čekám na zápis
319: Skřítek| ID:18 |Pracuji
279: Santa| ID:0 |Čekám než pomůžu všem skřítkům
413: Skřítek| ID:3 |Čekám na zápis
319: Skřítek| ID:32 |Pracuji
311: Skřítek| ID:19 |Začínám
311: Skřítek| ID:20 |Začínám
319: Skřítek| ID:19 |Pracuji
327: Skřítek| ID:10 |Potřebuji pomoc
319: Skřítek| ID:20 |Pracuji
335: Skřítek| ID:10 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:21 |Začínám
311: Skřítek| ID:22 |Začínám
319: Skřítek| ID:21 |Pracuji
311: Skřítek| ID:23 |Začínám
319: Skřítek| ID:22 |Pracuji
327: Skřítek| ID:11 |Potřebuji pomoc
319: Skřítek| ID:23 |Pracuji
327: Skřítek| ID:12 |Potřebuji pomoc
335: Skřítek| ID:11 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:24 |Začínám
311: Skřítek| ID:25 |Začínám
319: Skřítek| ID:24 |Pracuji
327: Skřítek| ID:13 |Potřebuji pomoc
319: Skřítek| ID:25 |Pracuji
311: Skřítek| ID:26 |Začínám
335: Skřítek| ID:13 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:27 |Začínám
319: Skřítek| ID:26 |Pracuji
327: Skřítek| ID:14 |Potřebuji pomoc
319: Skřítek| ID:27 |Pracuji
335: Skřítek| ID:12 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:28 |Začínám
327: Skřítek| ID:15 |Potřebuji pomoc
311: Skřítek| ID:29 |Začínám
335: Skřítek| ID:15 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:28 |Pracuji
319: Skřítek| ID:29 |Pracuji
311: Skřítek| ID:30 |Začínám
319: Skřítek| ID:30 |Pracuji
327: Skřítek| ID:28 |Potřebuji pomoc
335: Skřítek| ID:28 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:30 |Potřebuji pomoc
327: Skřítek| ID:9 |Potřebuji pomoc
335: Skřítek| ID:30 |Čekám dokud je Santa vzhůru
335: Skřítek| ID:9 |Čekám dokud je Santa vzhůru
335: Skřítek| ID:14 |Čekám dokud je Santa vzhůru
427: Skřítek| ID:1 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::1
327: Skřítek| ID:17 |Potřebuji pomoc
427: Skřítek| ID:2 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::2
319: Skřítek| ID:1 |Pracuji
427: Skřítek| ID:3 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::3
311: Skřítek| ID:33 |Začínám
433: Skřítek| ID:3 |Jsem poslední skřítek, kterému santa pomohl, díky santo
433: Skřítek| ID:2 |Jsem poslední skřítek, kterému santa pomohl, díky santo
335: Skřítek| ID:17 |Čekám dokud je Santa vzhůru
285: Santa| ID:0 |Poslední skřítek odešel z dílny
319: Skřítek| ID:3 |Pracuji
319: Skřítek| ID:2 |Pracuji
189: Santa| ID:0 |Čekám na writing
319: Skřítek| ID:33 |Pracuji
195: Santa| ID:0 |Uvolnil jsem writing
203: Santa| ID:0 |Jdu spát
207: Santa| ID:0 |Byl jsem probuzen
261: Santa| ID:0 |Čekám na writing
311: Skřítek| ID:34 |Začínám
391: Skřítek| ID:4 |Čekám ve skřítkovské frontě
391: Skřítek| ID:5 |Čekám ve skřítkovské frontě
378: Skřítek| ID:6 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
311: Skřítek| ID:35 |Začínám
319: Skřítek| ID:34 |Pracuji
391: Skřítek| ID:7 |Čekám ve skřítkovské frontě
382: Skřítek| ID:6 |Jsem třetí skřítek před dílnou, budím santu
391: Skřítek| ID:8 |Čekám ve skřítkovské frontě
391: Skřítek| ID:10 |Čekám ve skřítkovské frontě
391: Skřítek| ID:6 |Čekám ve skřítkovské frontě
391: Skřítek| ID:11 |Čekám ve skřítkovské frontě
311: Skřítek| ID:36 |Začínám
391: Skřítek| ID:13 |Čekám ve skřítkovské frontě
391: Skřítek| ID:12 |Čekám ve skřítkovské frontě
391: Skřítek| ID:15 |Čekám ve skřítkovské frontě
319: Skřítek| ID:35 |Pracuji
327: Skřítek| ID:32 |Potřebuji pomoc
319: Skřítek| ID:36 |Pracuji
311: Skřítek| ID:37 |Začínám
335: Skřítek| ID:32 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:19 |Potřebuji pomoc
319: Skřítek| ID:37 |Pracuji
311: Skřítek| ID:38 |Začínám
335: Skřítek| ID:19 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:20 |Potřebuji pomoc
319: Skřítek| ID:38 |Pracuji
311: Skřítek| ID:39 |Začínám
335: Skřítek| ID:20 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:40 |Začínám
319: Skřítek| ID:39 |Pracuji
311: Skřítek| ID:41 |Začínám
319: Skřítek| ID:40 |Pracuji
327: Skřítek| ID:21 |Potřebuji pomoc
319: Skřítek| ID:41 |Pracuji
311: Skřítek| ID:42 |Začínám
335: Skřítek| ID:21 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:22 |Potřebuji pomoc
319: Skřítek| ID:42 |Pracuji
311: Skřítek| ID:48 |Začínám
335: Skřítek| ID:22 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:55 |Začínám
319: Skřítek| ID:48 |Pracuji
311: Skřítek| ID:56 |Začínám
319: Skřítek| ID:55 |Pracuji
311: Skřítek| ID:58 |Začínám
319: Skřítek| ID:56 |Pracuji
311: Skřítek| ID:60 |Začínám
319: Skřítek| ID:58 |Pracuji
319: Skřítek| ID:60 |Pracuji
327: Skřítek| ID:56 |Potřebuji pomoc
311: Skřítek| ID:47 |Začínám
335: Skřítek| ID:56 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:96 |Začínám
319: Skřítek| ID:47 |Pracuji
311: Skřítek| ID:52 |Začínám
319: Skřítek| ID:96 |Pracuji
311: Skřítek| ID:59 |Začínám
319: Skřítek| ID:52 |Pracuji
327: Skřítek| ID:23 |Potřebuji pomoc
319: Skřítek| ID:59 |Pracuji
335: Skřítek| ID:23 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:67 |Začínám
311: Skřítek| ID:69 |Začínám
319: Skřítek| ID:67 |Pracuji
311: Skřítek| ID:103 |Začínám
319: Skřítek| ID:69 |Pracuji
311: Skřítek| ID:70 |Začínám
319: Skřítek| ID:103 |Pracuji
327: Skřítek| ID:25 |Potřebuji pomoc
319: Skřítek| ID:70 |Pracuji
311: Skřítek| ID:71 |Začínám
335: Skřítek| ID:25 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:71 |Pracuji
311: Skřítek| ID:43 |Začínám
311: Skřítek| ID:51 |Začínám
319: Skřítek| ID:43 |Pracuji
311: Skřítek| ID:66 |Začínám
319: Skřítek| ID:51 |Pracuji
311: Skřítek| ID:64 |Začínám
319: Skřítek| ID:66 |Pracuji
311: Skřítek| ID:45 |Začínám
319: Skřítek| ID:64 |Pracuji
311: Skřítek| ID:61 |Začínám
319: Skřítek| ID:45 |Pracuji
311: Skřítek| ID:57 |Začínám
319: Skřítek| ID:61 |Pracuji
311: Skřítek| ID:116 |Začínám
319: Skřítek| ID:57 |Pracuji
327: Skřítek| ID:26 |Potřebuji pomoc
319: Skřítek| ID:116 |Pracuji
311: Skřítek| ID:46 |Začínám
335: Skřítek| ID:26 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:27 |Potřebuji pomoc
319: Skřítek| ID:46 |Pracuji
327: Skřítek| ID:29 |Potřebuji pomoc
335: Skřítek| ID:27 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:54 |Začínám
335: Skřítek| ID:29 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:73 |Začínám
319: Skřítek| ID:54 |Pracuji
327: Skřítek| ID:1 |Potřebuji pomoc
319: Skřítek| ID:73 |Pracuji
311: Skřítek| ID:72 |Začínám
335: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:3 |Potřebuji pomoc
319: Skřítek| ID:72 |Pracuji
327: Skřítek| ID:33 |Potřebuji pomoc
335: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:2 |Potřebuji pomoc
335: Skřítek| ID:33 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:16 |Potřebuji pomoc
335: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:31 |Začínám
335: Skřítek| ID:16 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:63 |Začínám
319: Skřítek| ID:31 |Pracuji
311: Skřítek| ID:53 |Začínám
319: Skřítek| ID:63 |Pracuji
319: Skřítek| ID:53 |Pracuji
267: Santa| ID:0 |Uvolnil jsem writing a pomáhám skřítkům
327: Skřítek| ID:18 |Potřebuji pomoc
395: Skřítek| ID:4 |Nyní jsem vstoupil do dílny
395: Skřítek| ID:5 |Nyní jsem vstoupil do dílny
413: Skřítek| ID:4 |Čekám na zápis
311: Skřítek| ID:62 |Začínám
413: Skřítek| ID:5 |Čekám na zápis
335: Skřítek| ID:18 |Čekám dokud je Santa vzhůru
395: Skřítek| ID:7 |Nyní jsem vstoupil do dílny
279: Santa| ID:0 |Čekám než pomůžu všem skřítkům
413: Skřítek| ID:7 |Čekám na zápis
285: Santa| ID:0 |Poslední skřítek odešel z dílny
311: Skřítek| ID:50 |Začínám
319: Skřítek| ID:62 |Pracuji
189: Santa| ID:0 |Čekám na writing
311: Skřítek| ID:68 |Začínám
319: Skřítek| ID:50 |Pracuji
311: Skřítek| ID:74 |Začínám
319: Skřítek| ID:68 |Pracuji
311: Skřítek| ID:75 |Začínám
319: Skřítek| ID:74 |Pracuji
311: Skřítek| ID:76 |Začínám
319: Skřítek| ID:75 |Pracuji
327: Skřítek| ID:34 |Potřebuji pomoc
319: Skřítek| ID:76 |Pracuji
311: Skřítek| ID:77 |Začínám
335: Skřítek| ID:34 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:35 |Potřebuji pomoc
319: Skřítek| ID:77 |Pracuji
311: Skřítek| ID:78 |Začínám
335: Skřítek| ID:35 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:36 |Potřebuji pomoc
319: Skřítek| ID:78 |Pracuji
311: Skřítek| ID:79 |Začínám
335: Skřítek| ID:36 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:80 |Začínám
319: Skřítek| ID:79 |Pracuji
327: Skřítek| ID:37 |Potřebuji pomoc
319: Skřítek| ID:80 |Pracuji
311: Skřítek| ID:81 |Začínám
335: Skřítek| ID:37 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:82 |Začínám
319: Skřítek| ID:81 |Pracuji
327: Skřítek| ID:38 |Potřebuji pomoc
319: Skřítek| ID:82 |Pracuji
311: Skřítek| ID:83 |Začínám
335: Skřítek| ID:38 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:84 |Začínám
319: Skřítek| ID:83 |Pracuji
311: Skřítek| ID:85 |Začínám
319: Skřítek| ID:84 |Pracuji
327: Skřítek| ID:39 |Potřebuji pomoc
319: Skřítek| ID:85 |Pracuji
311: Skřítek| ID:86 |Začínám
335: Skřítek| ID:39 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:40 |Potřebuji pomoc
319: Skřítek| ID:86 |Pracuji
311: Skřítek| ID:87 |Začínám
335: Skřítek| ID:40 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:88 |Začínám
319: Skřítek| ID:87 |Pracuji
311: Skřítek| ID:89 |Začínám
319: Skřítek| ID:88 |Pracuji
311: Skřítek| ID:90 |Začínám
319: Skřítek| ID:89 |Pracuji
327: Skřítek| ID:48 |Potřebuji pomoc
319: Skřítek| ID:90 |Pracuji
311: Skřítek| ID:92 |Začínám
335: Skřítek| ID:48 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:55 |Potřebuji pomoc
319: Skřítek| ID:92 |Pracuji
311: Skřítek| ID:93 |Začínám
335: Skřítek| ID:55 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:94 |Začínám
319: Skřítek| ID:93 |Pracuji
327: Skřítek| ID:42 |Potřebuji pomoc
