411: Skřítek| ID:53 |Pracuji
427: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
276: Santa| ID:0 |Uvolnil jsem writing
419: Skřítek| ID:3 |Potřebuji pomoc
284: Santa| ID:0 |Jdu spát
288: Santa| ID:0 |Byl jsem probuzen
419: Skřítek| ID:29 |Potřebuji pomoc
427: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
342: Santa| ID:0 |Čekám na writing
491: Skřítek| ID:4 |Čekám ve skřítkovské frontě
491: Skřítek| ID:5 |Čekám ve skřítkovské frontě
478: Skřítek| ID:6 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
403: Skřítek| ID:54 |Začínám
491: Skřítek| ID:8 |Čekám ve skřítkovské frontě
427: Skřítek| ID:29 |Čekám dokud je Santa vzhůru
491: Skřítek| ID:9 |Čekám ve skřítkovské frontě
491: Skřítek| ID:14 |Čekám ve skřítkovské frontě
491: Skřítek| ID:10 |Čekám ve skřítkovské frontě
491: Skřítek| ID:11 |Čekám ve skřítkovské frontě
403: Skřítek| ID:55 |Začínám
491: Skřítek| ID:16 |Čekám ve skřítkovské frontě
411: Skřítek| ID:54 |Pracuji
491: Skřítek| ID:23 |Čekám ve skřítkovské frontě
491: Skřítek| ID:12 |Čekám ve skřítkovské frontě
482: Skřítek| ID:6 |Jsem třetí skřítek před dílnou, budím santu
491: Skřítek| ID:25 |Čekám ve skřítkovské frontě
403: Skřítek| ID:56 |Začínám
491: Skřítek| ID:22 |Čekám ve skřítkovské frontě
491: Skřítek| ID:6 |Čekám ve skřítkovské frontě
491: Skřítek| ID:15 |Čekám ve skřítkovské frontě
411: Skřítek| ID:55 |Pracuji
491: Skřítek| ID:7 |Čekám ve skřítkovské frontě
491: Skřítek| ID:19 |Čekám ve skřítkovské frontě
491: Skřítek| ID:20 |Čekám ve skřítkovské frontě
491: Skřítek| ID:21 |Čekám ve skřítkovské frontě
491: Skřítek| ID:41 |Čekám ve skřítkovské frontě
419: Skřítek| ID:30 |Potřebuji pomoc
491: Skřítek| ID:13 |Čekám ve skřítkovské frontě
491: Skřítek| ID:17 |Čekám ve skřítkovské frontě
411: Skřítek| ID:56 |Pracuji
491: Skřítek| ID:28 |Čekám ve skřítkovské frontě
491: Skřítek| ID:26 |Čekám ve skřítkovské frontě
491: Skřítek| ID:27 |Čekám ve skřítkovské frontě
491: Skřítek| ID:1 |Čekám ve skřítkovské frontě
