185: Santa| ID:0 |Začínám
189: Santa| ID:0 |Čekám na writing
195: Santa| ID:0 |Uvolnil jsem writing
311: Skřítek| ID:1 |Začínám
203: Santa| ID:0 |Jdu spát
311: Skřítek| ID:2 |Začínám
319: Skřítek| ID:1 |Pracuji
311: Skřítek| ID:3 |Začínám
319: Skřítek| ID:2 |Pracuji
327: Skřítek| ID:1 |Potřebuji pomoc
319: Skřítek| ID:3 |Pracuji
327: Skřítek| ID:3 |Potřebuji pomoc
335: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:2 |Potřebuji pomoc
335: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
386: Skřítek| ID:1 |Čekám ve skřítkovské frontě
311: Skřítek| ID:5 |Začínám
335: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:6 |Začínám
319: Skřítek| ID:5 |Pracuji
376: Skřítek| ID:3 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
376: Skřítek| ID:2 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
380: Skřítek| ID:3 |Jsem třetí skřítek před dílnou, budím santu
311: Skřítek| ID:4 |Začínám
319: Skřítek| ID:6 |Pracuji
207: Santa| ID:0 |Byl jsem probuzen
386: Skřítek| ID:3 |Čekám ve skřítkovské frontě
261: Santa| ID:0 |Čekám na writing
311: Skřítek| ID:7 |Začínám
319: Skřítek| ID:4 |Pracuji
311: Skřítek| ID:8 |Začínám
319: Skřítek| ID:7 |Pracuji
311: Skřítek| ID:9 |Začínám
319: Skřítek| ID:8 |Pracuji
327: Skřítek| ID:8 |Potřebuji pomoc
319: Skřítek| ID:9 |Pracuji
327: Skřítek| ID:5 |Potřebuji pomoc
335: Skřítek| ID:8 |Čekám dokud je Santa vzhůru
335: Skřítek| ID:5 |Čekám dokud je Santa vzhůru
267: Santa| ID:0 |Uvolnil jsem writing a pomáhám skřítkům
311: Skřítek| ID:11 |Začínám
390: Skřítek| ID:1 |Nyní jsem vstoupil do dílny
408: Skřítek| ID:1 |Čekám na zápis
327: Skřítek| ID:6 |Potřebuji pomoc
390: Skřítek| ID:3 |Nyní jsem vstoupil do dílny
319: Skřítek| ID:11 |Pracuji
408: Skřítek| ID:3 |Čekám na zápis
279: Santa| ID:0 |Čekám než pomůžu všem skřítkům
311: Skřítek| ID:12 |Začínám
335: Skřítek| ID:6 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:4 |Potřebuji pomoc
319: Skřítek| ID:12 |Pracuji
311: Skřítek| ID:13 |Začínám
335: Skřítek| ID:4 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:7 |Potřebuji pomoc
319: Skřítek| ID:13 |Pracuji
327: Skřítek| ID:13 |Potřebuji pomoc
335: Skřítek| ID:7 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:10 |Začínám
335: Skřítek| ID:13 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:15 |Začínám
319: Skřítek| ID:10 |Pracuji
327: Skřítek| ID:9 |Potřebuji pomoc
319: Skřítek| ID:15 |Pracuji
311: Skřítek| ID:16 |Začínám
335: Skřítek| ID:9 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:17 |Začínám
319: Skřítek| ID:16 |Pracuji
311: Skřítek| ID:18 |Začínám
319: Skřítek| ID:17 |Pracuji
319: Skřítek| ID:18 |Pracuji
311: Skřítek| ID:19 |Začínám
422: Skřítek| ID:1 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::1
319: Skřítek| ID:19 |Pracuji
319: Skřítek| ID:1 |Pracuji
327: Skřítek| ID:11 |Potřebuji pomoc
422: Skřítek| ID:3 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::2
335: Skřítek| ID:11 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:20 |Začínám
319: Skřítek| ID:3 |Pracuji
311: Skřítek| ID:21 |Začínám
319: Skřítek| ID:20 |Pracuji
327: Skřítek| ID:12 |Potřebuji pomoc
319: Skřítek| ID:21 |Pracuji
311: Skřítek| ID:22 |Začínám
335: Skřítek| ID:12 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:22 |Pracuji
311: Skřítek| ID:23 |Začínám
311: Skřítek| ID:14 |Začínám
319: Skřítek| ID:23 |Pracuji
311: Skřítek| ID:24 |Začínám
319: Skřítek| ID:14 |Pracuji
311: Skřítek| ID:25 |Začínám
319: Skřítek| ID:24 |Pracuji
311: Skřítek| ID:26 |Začínám
319: Skřítek| ID:25 |Pracuji
327: Skřítek| ID:10 |Potřebuji pomoc
319: Skřítek| ID:26 |Pracuji
335: Skřítek| ID:10 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:27 |Začínám
311: Skřítek| ID:28 |Začínám
319: Skřítek| ID:27 |Pracuji
327: Skřítek| ID:15 |Potřebuji pomoc
319: Skřítek| ID:28 |Pracuji
311: Skřítek| ID:29 |Začínám
335: Skřítek| ID:15 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:30 |Začínám
319: Skřítek| ID:29 |Pracuji
327: Skřítek| ID:16 |Potřebuji pomoc
319: Skřítek| ID:30 |Pracuji
311: Skřítek| ID:31 |Začínám
335: Skřítek| ID:16 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:17 |Potřebuji pomoc
311: Skřítek| ID:32 |Začínám
335: Skřítek| ID:17 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:31 |Pracuji
327: Skřítek| ID:18 |Potřebuji pomoc
319: Skřítek| ID:32 |Pracuji
327: Skřítek| ID:32 |Potřebuji pomoc
335: Skřítek| ID:18 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:34 |Začínám
335: Skřítek| ID:32 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:19 |Potřebuji pomoc
319: Skřítek| ID:34 |Pracuji
311: Skřítek| ID:62 |Začínám
335: Skřítek| ID:19 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:35 |Začínám
319: Skřítek| ID:62 |Pracuji
327: Skřítek| ID:62 |Potřebuji pomoc
319: Skřítek| ID:35 |Pracuji
327: Skřítek| ID:35 |Potřebuji pomoc
335: Skřítek| ID:62 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:37 |Začínám
335: Skřítek| ID:35 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:38 |Začínám
319: Skřítek| ID:37 |Pracuji
327: Skřítek| ID:20 |Potřebuji pomoc
319: Skřítek| ID:38 |Pracuji
327: Skřítek| ID:38 |Potřebuji pomoc
335: Skřítek| ID:20 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:21 |Potřebuji pomoc
335: Skřítek| ID:38 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:40 |Začínám
335: Skřítek| ID:21 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:41 |Začínám
319: Skřítek| ID:40 |Pracuji
327: Skřítek| ID:40 |Potřebuji pomoc
319: Skřítek| ID:41 |Pracuji
311: Skřítek| ID:42 |Začínám
335: Skřítek| ID:40 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:43 |Začínám
319: Skřítek| ID:42 |Pracuji
327: Skřítek| ID:23 |Potřebuji pomoc
319: Skřítek| ID:43 |Pracuji
327: Skřítek| ID:43 |Potřebuji pomoc
335: Skřítek| ID:23 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:14 |Potřebuji pomoc
335: Skřítek| ID:43 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:45 |Začínám
335: Skřítek| ID:14 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:24 |Potřebuji pomoc
319: Skřítek| ID:45 |Pracuji
311: Skřítek| ID:46 |Začínám
335: Skřítek| ID:24 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:25 |Potřebuji pomoc
319: Skřítek| ID:46 |Pracuji
311: Skřítek| ID:47 |Začínám
335: Skřítek| ID:25 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:26 |Potřebuji pomoc
319: Skřítek| ID:47 |Pracuji
327: Skřítek| ID:47 |Potřebuji pomoc
335: Skřítek| ID:26 |Čekám dokud je Santa vzhůru
335: Skřítek| ID:47 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:49 |Začínám
311: Skřítek| ID:50 |Začínám
319: Skřítek| ID:49 |Pracuji
311: Skřítek| ID:90 |Začínám
319: Skřítek| ID:50 |Pracuji
327: Skřítek| ID:28 |Potřebuji pomoc
319: Skřítek| ID:90 |Pracuji
311: Skřítek| ID:51 |Začínám
335: Skřítek| ID:28 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:52 |Začínám
319: Skřítek| ID:51 |Pracuji
311: Skřítek| ID:53 |Začínám
319: Skřítek| ID:52 |Pracuji
327: Skřítek| ID:52 |Potřebuji pomoc
319: Skřítek| ID:53 |Pracuji
311: Skřítek| ID:54 |Začínám
335: Skřítek| ID:52 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:30 |Potřebuji pomoc
319: Skřítek| ID:54 |Pracuji
311: Skřítek| ID:55 |Začínám
335: Skřítek| ID:30 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:55 |Pracuji
311: Skřítek| ID:56 |Začínám
311: Skřítek| ID:57 |Začínám
319: Skřítek| ID:56 |Pracuji
327: Skřítek| ID:31 |Potřebuji pomoc
319: Skřítek| ID:57 |Pracuji
327: Skřítek| ID:57 |Potřebuji pomoc
335: Skřítek| ID:31 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:33 |Začínám
335: Skřítek| ID:57 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:59 |Začínám
319: Skřítek| ID:33 |Pracuji
327: Skřítek| ID:33 |Potřebuji pomoc
319: Skřítek| ID:59 |Pracuji
327: Skřítek| ID:59 |Potřebuji pomoc
335: Skřítek| ID:33 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:34 |Potřebuji pomoc
335: Skřítek| ID:59 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:1 |Potřebuji pomoc
335: Skřítek| ID:34 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:63 |Začínám
335: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:63 |Pracuji
311: Skřítek| ID:64 |Začínám
311: Skřítek| ID:36 |Začínám
319: Skřítek| ID:64 |Pracuji
311: Skřítek| ID:65 |Začínám
319: Skřítek| ID:36 |Pracuji
327: Skřítek| ID:3 |Potřebuji pomoc
319: Skřítek| ID:65 |Pracuji
311: Skřítek| ID:66 |Začínám
335: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:67 |Začínám
319: Skřítek| ID:66 |Pracuji
311: Skřítek| ID:68 |Začínám
319: Skřítek| ID:67 |Pracuji
327: Skřítek| ID:37 |Potřebuji pomoc
319: Skřítek| ID:68 |Pracuji
327: Skřítek| ID:68 |Potřebuji pomoc
335: Skřítek| ID:37 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:39 |Začínám
335: Skřítek| ID:68 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:70 |Začínám
319: Skřítek| ID:39 |Pracuji
327: Skřítek| ID:39 |Potřebuji pomoc
319: Skřítek| ID:70 |Pracuji
311: Skřítek| ID:72 |Začínám
335: Skřítek| ID:39 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:73 |Začínám
319: Skřítek| ID:72 |Pracuji
327: Skřítek| ID:22 |Potřebuji pomoc
319: Skřítek| ID:73 |Pracuji
327: Skřítek| ID:73 |Potřebuji pomoc
335: Skřítek| ID:22 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:41 |Potřebuji pomoc
335: Skřítek| ID:73 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:75 |Začínám
335: Skřítek| ID:41 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:76 |Začínám
319: Skřítek| ID:75 |Pracuji
327: Skřítek| ID:42 |Potřebuji pomoc
319: Skřítek| ID:76 |Pracuji
311: Skřítek| ID:77 |Začínám
335: Skřítek| ID:42 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:77 |Pracuji
311: Skřítek| ID:78 |Začínám
311: Skřítek| ID:44 |Začínám
319: Skřítek| ID:78 |Pracuji
319: Skřítek| ID:44 |Pracuji
311: Skřítek| ID:79 |Začínám
311: Skřítek| ID:80 |Začínám
319: Skřítek| ID:79 |Pracuji
311: Skřítek| ID:81 |Začínám
319: Skřítek| ID:80 |Pracuji
311: Skřítek| ID:82 |Začínám
319: Skřítek| ID:81 |Pracuji
327: Skřítek| ID:45 |Potřebuji pomoc
319: Skřítek| ID:82 |Pracuji
327: Skřítek| ID:82 |Potřebuji pomoc
335: Skřítek| ID:45 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:84 |Začínám
335: Skřítek| ID:82 |Čekám dokud je Santa vzhůru
319: Skřítek| ID:84 |Pracuji
327: Skřítek| ID:46 |Potřebuji pomoc
311: Skřítek| ID:85 |Začínám
335: Skřítek| ID:46 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:149 |Začínám
319: Skřítek| ID:85 |Pracuji
311: Skřítek| ID:48 |Začínám
319: Skřítek| ID:149 |Pracuji
327: Skřítek| ID:149 |Potřebuji pomoc
319: Skřítek| ID:48 |Pracuji
311: Skřítek| ID:88 |Začínám
335: Skřítek| ID:149 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:89 |Začínám
319: Skřítek| ID:88 |Pracuji
327: Skřítek| ID:49 |Potřebuji pomoc
319: Skřítek| ID:89 |Pracuji
311: Skřítek| ID:156 |Začínám
335: Skřítek| ID:49 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:91 |Začínám
319: Skřítek| ID:156 |Pracuji
327: Skřítek| ID:156 |Potřebuji pomoc
319: Skřítek| ID:91 |Pracuji
311: Skřítek| ID:92 |Začínám
335: Skřítek| ID:156 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:90 |Potřebuji pomoc
319: Skřítek| ID:92 |Pracuji
327: Skřítek| ID:92 |Potřebuji pomoc
335: Skřítek| ID:90 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:94 |Začínám
335: Skřítek| ID:92 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:51 |Potřebuji pomoc
319: Skřítek| ID:94 |Pracuji
311: Skřítek| ID:95 |Začínám
335: Skřítek| ID:51 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:29 |Potřebuji pomoc
319: Skřítek| ID:95 |Pracuji
311: Skřítek| ID:169 |Začínám
335: Skřítek| ID:29 |Čekám dokud je Santa vzhůru
327: Skřítek| ID:53 |Potřebuji pomoc
319: Skřítek| ID:169 |Pracuji
311: Skřítek| ID:97 |Začínám
335: Skřítek| ID:53 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:98 |Začínám
319: Skřítek| ID:97 |Pracuji
311: Skřítek| ID:99 |Začínám
319: Skřítek| ID:98 |Pracuji
327: Skřítek| ID:98 |Potřebuji pomoc
319: Skřítek| ID:99 |Pracuji
311: Skřítek| ID:100 |Začínám
335: Skřítek| ID:98 |Čekám dokud je Santa vzhůru
311: Skřítek| ID:101 |Začínám
319: Skřítek| ID:100 |Pracuji
327: Skřítek| ID:55 |Potřebuji pomoc
319: Skřítek| ID:101 |Pracuji
