266: Santa| ID:0 |Začínám
270: Santa| ID:0 |Čekám na writing
276: Santa| ID:0 |Uvolnil jsem writing
399: Skřítek| ID:1 |Začínám
284: Santa| ID:0 |Jdu spát
399: Skřítek| ID:2 |Začínám
407: Skřítek| ID:1 |Pracuji
399: Skřítek| ID:3 |Začínám
407: Skřítek| ID:2 |Pracuji
415: Skřítek| ID:1 |Potřebuji pomoc
407: Skřítek| ID:3 |Pracuji
399: Skřítek| ID:4 |Začínám
423: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:2 |Potřebuji pomoc
407: Skřítek| ID:4 |Pracuji
487: Skřítek| ID:1 |Čekám ve skřítkovské frontě
399: Skřítek| ID:5 |Začínám
423: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:3 |Potřebuji pomoc
407: Skřítek| ID:5 |Pracuji
487: Skřítek| ID:2 |Čekám ve skřítkovské frontě
399: Skřítek| ID:6 |Začínám
423: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:12 |Začínám
407: Skřítek| ID:6 |Pracuji
474: Skřítek| ID:3 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
478: Skřítek| ID:3 |Jsem třetí skřítek před dílnou, budím santu
399: Skřítek| ID:8 |Začínám
407: Skřítek| ID:12 |Pracuji
288: Santa| ID:0 |Byl jsem probuzen
487: Skřítek| ID:3 |Čekám ve skřítkovské frontě
342: Santa| ID:0 |Čekám na writing
415: Skřítek| ID:4 |Potřebuji pomoc
407: Skřítek| ID:8 |Pracuji
399: Skřítek| ID:9 |Začínám
423: Skřítek| ID:4 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:10 |Začínám
407: Skřítek| ID:9 |Pracuji
415: Skřítek| ID:5 |Potřebuji pomoc
407: Skřítek| ID:10 |Pracuji
399: Skřítek| ID:11 |Začínám
423: Skřítek| ID:5 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:7 |Začínám
407: Skřítek| ID:11 |Pracuji
415: Skřítek| ID:6 |Potřebuji pomoc
407: Skřítek| ID:7 |Pracuji
399: Skřítek| ID:13 |Začínám
423: Skřítek| ID:6 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:14 |Začínám
407: Skřítek| ID:13 |Pracuji
415: Skřítek| ID:13 |Potřebuji pomoc
407: Skřítek| ID:14 |Pracuji
415: Skřítek| ID:12 |Potřebuji pomoc
423: Skřítek| ID:13 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:15 |Začínám
423: Skřítek| ID:12 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:8 |Potřebuji pomoc
407: Skřítek| ID:15 |Pracuji
399: Skřítek| ID:16 |Začínám
399: Skřítek| ID:17 |Začínám
407: Skřítek| ID:16 |Pracuji
423: Skřítek| ID:8 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:9 |Potřebuji pomoc
407: Skřítek| ID:17 |Pracuji
399: Skřítek| ID:18 |Začínám
423: Skřítek| ID:9 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:10 |Potřebuji pomoc
407: Skřítek| ID:18 |Pracuji
399: Skřítek| ID:19 |Začínám
423: Skřítek| ID:10 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:20 |Začínám
407: Skřítek| ID:19 |Pracuji
415: Skřítek| ID:19 |Potřebuji pomoc
407: Skřítek| ID:20 |Pracuji
415: Skřítek| ID:11 |Potřebuji pomoc
423: Skřítek| ID:19 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:22 |Začínám
423: Skřítek| ID:11 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:7 |Potřebuji pomoc
407: Skřítek| ID:22 |Pracuji
399: Skřítek| ID:23 |Začínám
423: Skřítek| ID:7 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:24 |Začínám
407: Skřítek| ID:23 |Pracuji
407: Skřítek| ID:24 |Pracuji
348: Santa| ID:0 |Uvolnil jsem writing a pomáhám skřítkům
399: Skřítek| ID:25 |Začínám
491: Skřítek| ID:1 |Nyní jsem vstoupil do dílny
491: Skřítek| ID:2 |Nyní jsem vstoupil do dílny
509: Skřítek| ID:1 |Čekám na zápis
415: Skřítek| ID:14 |Potřebuji pomoc
491: Skřítek| ID:3 |Nyní jsem vstoupil do dílny
509: Skřítek| ID:2 |Čekám na zápis
407: Skřítek| ID:25 |Pracuji
360: Santa| ID:0 |Čekám než pomůžu všem skřítkům
509: Skřítek| ID:3 |Čekám na zápis
423: Skřítek| ID:14 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:26 |Začínám
399: Skřítek| ID:27 |Začínám
407: Skřítek| ID:26 |Pracuji
399: Skřítek| ID:28 |Začínám
407: Skřítek| ID:27 |Pracuji
415: Skřítek| ID:15 |Potřebuji pomoc
407: Skřítek| ID:28 |Pracuji
399: Skřítek| ID:29 |Začínám
423: Skřítek| ID:15 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:30 |Začínám
407: Skřítek| ID:29 |Pracuji
415: Skřítek| ID:16 |Potřebuji pomoc
407: Skřítek| ID:30 |Pracuji
399: Skřítek| ID:31 |Začínám
423: Skřítek| ID:16 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:32 |Začínám
407: Skřítek| ID:31 |Pracuji
415: Skřítek| ID:17 |Potřebuji pomoc
407: Skřítek| ID:32 |Pracuji
415: Skřítek| ID:32 |Potřebuji pomoc
423: Skřítek| ID:17 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:34 |Začínám
423: Skřítek| ID:32 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:18 |Potřebuji pomoc
407: Skřítek| ID:34 |Pracuji
399: Skřítek| ID:35 |Začínám
423: Skřítek| ID:18 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:36 |Začínám
407: Skřítek| ID:35 |Pracuji
399: Skřítek| ID:21 |Začínám
407: Skřítek| ID:36 |Pracuji
399: Skřítek| ID:37 |Začínám
407: Skřítek| ID:21 |Pracuji
415: Skřítek| ID:20 |Potřebuji pomoc
407: Skřítek| ID:37 |Pracuji
399: Skřítek| ID:38 |Začínám
423: Skřítek| ID:20 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:39 |Začínám
407: Skřítek| ID:38 |Pracuji
399: Skřítek| ID:40 |Začínám
407: Skřítek| ID:39 |Pracuji
415: Skřítek| ID:22 |Potřebuji pomoc
407: Skřítek| ID:40 |Pracuji
399: Skřítek| ID:41 |Začínám
423: Skřítek| ID:22 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:42 |Začínám
407: Skřítek| ID:41 |Pracuji
415: Skřítek| ID:23 |Potřebuji pomoc
407: Skřítek| ID:42 |Pracuji
399: Skřítek| ID:43 |Začínám
423: Skřítek| ID:23 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:24 |Potřebuji pomoc
407: Skřítek| ID:43 |Pracuji
399: Skřítek| ID:44 |Začínám
423: Skřítek| ID:24 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:45 |Začínám
407: Skřítek| ID:44 |Pracuji
407: Skřítek| ID:45 |Pracuji
523: Skřítek| ID:2 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::1
399: Skřítek| ID:46 |Začínám
523: Skřítek| ID:1 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::2
523: Skřítek| ID:3 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::2
407: Skřítek| ID:2 |Pracuji
529: Skřítek| ID:1 |Jsem poslední skřítek, kterému santa pomohl, díky santo
415: Skřítek| ID:25 |Potřebuji pomoc
529: Skřítek| ID:3 |Jsem poslední skřítek, kterému santa pomohl, díky santo
407: Skřítek| ID:46 |Pracuji
366: Santa| ID:0 |Poslední skřítek odešel z dílny
407: Skřítek| ID:1 |Pracuji
407: Skřítek| ID:3 |Pracuji
270: Santa| ID:0 |Čekám na writing
399: Skřítek| ID:47 |Začínám
423: Skřítek| ID:25 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:48 |Začínám
407: Skřítek| ID:47 |Pracuji
415: Skřítek| ID:26 |Potřebuji pomoc
407: Skřítek| ID:48 |Pracuji
399: Skřítek| ID:49 |Začínám
423: Skřítek| ID:26 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:27 |Potřebuji pomoc
407: Skřítek| ID:49 |Pracuji
399: Skřítek| ID:50 |Začínám
423: Skřítek| ID:27 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:28 |Potřebuji pomoc
407: Skřítek| ID:50 |Pracuji
399: Skřítek| ID:51 |Začínám
423: Skřítek| ID:28 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:52 |Začínám
407: Skřítek| ID:51 |Pracuji
415: Skřítek| ID:29 |Potřebuji pomoc
407: Skřítek| ID:52 |Pracuji
399: Skřítek| ID:53 |Začínám
423: Skřítek| ID:29 |Čekám dokud je Santa vzhůru
415: Skřítek| ID:30 |Potřebuji pomoc
407: Skřítek| ID:53 |Pracuji
399: Skřítek| ID:54 |Začínám
423: Skřítek| ID:30 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:55 |Začínám
407: Skřítek| ID:54 |Pracuji
399: Skřítek| ID:56 |Začínám
407: Skřítek| ID:55 |Pracuji
415: Skřítek| ID:31 |Potřebuji pomoc
407: Skřítek| ID:56 |Pracuji
399: Skřítek| ID:57 |Začínám
423: Skřítek| ID:31 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:33 |Začínám
407: Skřítek| ID:57 |Pracuji
399: Skřítek| ID:58 |Začínám
407: Skřítek| ID:33 |Pracuji
399: Skřítek| ID:59 |Začínám
407: Skřítek| ID:58 |Pracuji
399: Skřítek| ID:60 |Začínám
407: Skřítek| ID:59 |Pracuji
415: Skřítek| ID:34 |Potřebuji pomoc
407: Skřítek| ID:60 |Pracuji
415: Skřítek| ID:60 |Potřebuji pomoc
423: Skřítek| ID:34 |Čekám dokud je Santa vzhůru
399: Skřítek| ID:62 |Začínám
